Age,Male,Female
0,100000,100000
1,99392,99495
2,99350,99461
3,99324,99440
4,99305,99423
5,99289,99409
6,99275,99397
7,99262,99386
8,99249,99376
9,99238,99366
10,99227,99357
11,99218,99348
12,99207,99337
13,99193,99326
14,99171,99312
15,99139,99295
16,99096,99275
17,99041,99251
18,98974,99224
19,98894,99192
20,98802,99156
21,98695,99116
22,98575,99071
23,98444,99023
24,98306,98971
25,98162,98917
26,98014,98860
27,97862,98800
28,97704,98737
29,97541,98669
30,97372,98595
31,97198,98515
32,97017,98429
33,96830,98337
34,96638,98240
35,96438,98138
36,96231,98029
37,96017,97914
38,95794,97793
39,95564,97667
40,95327,97534
41,95081,97396
42,94825,97249
43,94557,97094
44,94275,96928
45,93979,96750
46,93665,96557
47,93331,96350
48,92973,96125
49,92588,95882
50,92171,95618
51,91720,95333
52,91232,95024
53,90702,94689
54,90125,94324
55,89497,93927
56,88814,93496
57,88075,93029
58,87278,92524
59,86422,91980
60,85506,91396
61,84527,90767
62,83482,90090
63,82376,89369
64,81212,88607
65,79994,87807
66,78714,86963
67,77366,86065
68,75950,85103
69,74468,84069
70,72915,82950
71,71283,81733
72,69559,80407
73,67732,78967
74,65791,77410
75,63725,75729
76,61519,73906
77,59165,71923
78,56669,69776
79,54041,67463
80,51288,64978
81,48404,62306
82,45385,59434
83,42243,56362
84,38996,53099
85,35663,49655
86,32273,46043
87,28858,42285
88,25457,38410
89,22119,34460
90,18895,30489
91,15840,26561
92,13006,22746
93,10439,19115
94,8172,15737
95,6226,12669
96,4615,9965
97,3327,7656
98,2336,5744
99,1598,4212
100,1068,3021
101,696,2115
102,442,1443
103,272,957
104,163,615
105,94,382
106,52,229
107,28,132
108,14,72
109,7,38
110,3,19
111,1,9
112,1,4
113,0,1
114,0,1
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
